,delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
55,281.2164778203741,137.43747953027648,158.00470191909062,294.37783328302066,0.536741167488592,0.4668744178103294,0.955290942541883,0.869831580079522,1.7797981604647213,1.0805643354356516
56,195.2894160321157,121.32525119865058,92.0773891879156,187.38016931351478,0.4913934570837989,0.6474818100716702,1.0422096252104862,1.3176443453565418,2.1209269480215216,0.8826424907780609
57,135.6602107504879,119.22581098566026,86.86810301716173,188.55435040990335,0.46070590696166297,0.6323153548378602,0.7194753685373608,1.3724923976077377,1.5616803641226833,1.0805710393651
58,134.00029501679165,117.7240546101244,88.08274402806128,183.40099855685017,0.4802740700496111,0.6418942946683717,0.7306410328799523,1.3365166572537752,1.521300187629282,1.0784961525862757
59,134.32688233306598,117.62975722080591,87.79776646540373,183.24633496574708,0.47912426997143015,0.6419214727693932,0.7330399396974283,1.3397807479209318,1.5299578536089165,1.0757569314747022
60,135.01360284248446,117.47018998181511,87.05752746499518,184.0525831142993,0.4730035623076868,0.6382425500046606,0.7335599455218679,1.3493398377187833,1.550855012471746,1.073772330281638
61,60.443973642598834,66.42193102591455,66.77509591936027,161.64386991305813,0.4131000820215203,0.4109152488222429,0.3739329779416273,0.9947111286238778,0.9051873727833039,1.800475600038103
62,49.187809285503796,64.50228661020826,65.14644962712107,164.5669405219549,0.3958659583783772,0.39195166663260045,0.2988924089461434,0.9901120779321082,0.7550343812600718,2.020522441636359
63,50.42360977539784,64.95419638379309,67.97136699198266,163.7869812839857,0.41499859426634766,0.3965772851700027,0.30786091409774347,0.9556111530235157,0.7418360407750133,2.008690891177139
64,44.167059070154544,63.38708676981947,62.662622918878576,157.03790945377085,0.39902863669568484,0.40364194219281485,0.28125093631074183,1.0115613393949174,0.704838977572517,2.0426970123451498
65,42.883962356342984,61.58875221967352,62.5135333049308,158.62209149235258,0.3941035748349383,0.3882734847348978,0.2703530255646042,0.9852067058704497,0.6859948572601395,2.1166830563819663
66,40.236439371410306,62.73527908382904,61.25897337970886,154.23801260323603,0.39717169811628916,0.40674330552488464,0.26087239255938205,1.02409941960616,0.6568252314972363,2.092778378527489
67,37.64046874927935,57.69412104724639,60.57794754853087,152.93186914901983,0.39611068566423213,0.37725374945249707,0.24612573532728965,0.9523947803121894,0.621355959924598,2.2395839448541017
68,39.71598678596503,56.96803519594546,63.30098448481243,155.11105600319377,0.40810104782929885,0.3672725636963782,0.25604871638000626,0.8999549637275166,0.6274149937667073,2.259029320572441
69,41.39988334880904,56.497110288474985,64.6076840729767,157.76313082641002,0.40952333878354535,0.3581135211536839,0.2624179878527016,0.8744642545097185,0.6407888464481467,2.271477464602109
70,43.6148814533133,54.73963437216739,62.673764235021565,162.8840174981539,0.3847754076653463,0.3360651045630539,0.2677664888380324,0.8734058826736203,0.6959033334867364,2.2933139352076424
71,43.64835054967056,55.39621078596414,63.688734963332024,167.84175559875882,0.37945703520633933,0.3300502344505612,0.26005656574527236,0.8697960607611033,0.6853386328806899,2.337639618368321
72,43.546387899013354,54.877527412855315,66.87969339370613,168.37282207570212,0.397211928678349,0.3259286548525143,0.2586307419580724,0.820540953885708,0.651115244244098,2.3901966785611077
73,42.92606708094595,53.65354077379148,61.04187123307466,169.76894122725608,0.3595585316831469,0.31603861334076283,0.25284994281424106,0.8789629100478833,0.7032233156326813,2.3898503792590104
74,42.24203478395388,55.41601099720382,60.504972927458965,163.08789450471102,0.3709961006683497,0.33979230135688,0.25901391953241304,0.9158918402235063,0.6981580643726424,2.2895488604514993
75,43.8104141102198,54.06867948148324,60.135423958315826,160.4548240828811,0.3747810282553647,0.33697135496253255,0.2730389339219246,0.899115295486436,0.7285292299691434,2.25370137734802
76,44.26899596236915,51.30110400173129,57.33574931882079,157.5349080798735,0.36395583694853434,0.3256491188335258,0.28101070741682116,0.8947489936246705,0.7721011147200197,2.248304202668067
77,42.68797917060092,54.30065133228538,54.047877266158025,155.37096644780524,0.34786342971171946,0.3494903364106121,0.2747487522705303,1.0046768546502312,0.7898178675988431,2.15921023555159
78,37.53657332126725,46.5224726999397,54.026508685644075,156.1868540637658,0.34590944935472534,0.297864202328745,0.24033119526142924,0.8611045546295248,0.6947806592440697,2.5007821608679204
79,260.3847628064405,121.80615927476663,61.24265397079389,190.65310415572162,0.3212255800502053,0.6388889381799827,1.3657514990879114,1.9889105284832198,4.251689728054826,0.6590835720399273
